year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,violent_crime_rate,homicide_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_rate,motor_vehicle_theft_rate
1979,AK,Alaska,406000,1994,54,445,1203,23193,5616,15076,2501,292.0,491.1330049261084,13.300492610837438,71.92118226600985,109.60591133004927,296.30541871921184,5712.56157635468,1383.2512315270935,3713.3004926108374,616.0098522167488
1979,AL,Alabama,3769000,15578,496,4127,9918,144372,48517,83791,12064,1037.0,413.3191828071106,13.159989387105334,27.513929424250463,109.49854072698328,263.14672326877155,3830.5120721676835,1287.2645263995755,2223.162642610772,320.08490315733616
1979,AR,Arkansas,2180000,7984,198,1626,5565,70949,21457,45267,4225,595.0,366.23853211009174,9.08256880733945,27.293577981651374,74.58715596330275,255.27522935779814,3254.5412844036696,984.2660550458717,2076.467889908257,193.8073394495413
1979,AZ,Arizona,2450000,14528,219,4305,8884,177977,48916,116976,12085,1120.0,592.9795918367347,8.938775510204081,45.714285714285715,175.7142857142857,362.61224489795916,7264.367346938776,1996.5714285714284,4774.530612244898,493.2653061224489
1979,CA,California,22696000,184087,2952,75767,93129,1511021,496310,847148,167563,12239.0,811.0988720479379,13.006697215368348,53.92580190341911,333.83415579837856,410.33221713077194,6657.653330983433,2186.772999647515,3732.587240042298,738.29309129362
1979,CO,Colorado,2772000,14472,161,4353,8486,180984,49741,117898,13345,1472.0,522.077922077922,5.808080808080808,53.102453102453104,157.034632034632,306.1327561327561,6529.004329004329,1794.4083694083693,4253.174603174603,481.42135642135645
1979,CT,Connecticut,3115000,12902,131,6021,5998,167131,48229,96997,21905,752.0,414.18940609951846,4.20545746388443,24.141252006420544,193.29052969502408,192.55216693418942,5365.361155698235,1548.2825040128412,3113.8683788121994,703.2102728731942
1979,DC,District of Columbia,656000,10553,180,6920,2964,45877,13452,28819,3606,489.0,1608.689024390244,27.439024390243905,74.54268292682927,1054.878048780488,451.8292682926829,6993.445121951219,2050.609756097561,4393.140243902439,549.6951219512194
1979,DE,Delaware,582000,3127,33,753,2179,34853,8890,23081,2882,162.0,537.2852233676977,5.670103092783505,27.835051546391757,129.38144329896906,374.39862542955325,5988.487972508591,1527.4914089347078,3965.807560137457,495.1890034364261
1979,FL,Florida,8860000,73881,1084,22097,46124,607281,190884,378099,38298,4576.0,833.8713318284424,12.234762979683973,51.64785553047403,249.40180586907448,520.5869074492099,6854.187358916479,2154.4469525959366,4267.483069977427,432.2573363431151
1979,GA,Georgia,5118000,28594,877,10939,14562,248641,81579,145758,21304,2216.0,558.6948026572879,17.13559984368894,43.29816334505666,213.73583431027748,284.52520515826495,4858.167252833137,1593.9624853458383,2847.9484173505275,416.2563501367722
1979,HI,Hawaii,915000,2651,66,1688,601,63664,16538,40580,6546,296.0,289.72677595628414,7.213114754098362,32.349726775956285,184.4808743169399,65.68306010928963,6957.814207650273,1807.431693989071,4434.972677595629,715.4098360655737
1979,IA,Iowa,2903000,5259,65,1457,3417,119620,26768,85023,7829,320.0,181.15742335514986,2.2390630382363073,11.023079572855666,50.18945918015845,117.70582156389942,4120.564932828109,922.0806062693765,2928.7977953840855,269.6865311746469
1979,ID,Idaho,905000,2613,49,392,1986,35766,9729,23577,2460,186.0,288.7292817679558,5.414364640883978,20.552486187845304,43.31491712707182,219.4475138121547,3952.044198895028,1075.0276243093922,2605.193370165746,271.8232044198895
1979,IL,Illinois,11230000,83540,1203,36056,42579,593750,161776,356062,75912,3702.0,743.900267141585,10.712377560106857,32.96527159394479,321.06856634016026,379.1540516473731,5287.177203918077,1440.5699020480854,3170.6322350845953,675.9750667853963
1979,IN,Indiana,5400000,18254,448,7167,8958,230223,63176,143666,23381,1681.0,338.03703703703707,8.296296296296296,31.129629629629626,132.72222222222223,165.88888888888889,4263.388888888889,1169.925925925926,2660.4814814814813,432.9814814814815
